Seq. ID.	Class	AMP Probability
PROTEIN_2344	AMP	0.98
PROTEIN_2345	AMP	0.99
PROTEIN_2346	NAMP	0.13
PROTEIN_2347	NAMP	0.03
PROTEIN_2348	AMP	0.92
PROTEIN_2349	AMP	0.80
PROTEIN_2350	AMP	0.61
PROTEIN_2351	AMP	0.93
PROTEIN_2352	AMP	0.74
PROTEIN_2353	AMP	0.98
PROTEIN_2354	NAMP	0.07
PROTEIN_2355	AMP	0.69
PROTEIN_2356	AMP	0.97
PROTEIN_2357	AMP	0.94
PROTEIN_2358	AMP	0.98
PROTEIN_2359	NAMP	0.38
PROTEIN_2360	NAMP	0.26
PROTEIN_2361	NAMP	0.37
PROTEIN_2362	AMP	0.91
PROTEIN_2363	NAMP	0.18
PROTEIN_2364	NAMP	0.05
PROTEIN_2365	AMP	0.99
PROTEIN_2366	AMP	0.52
PROTEIN_2367	AMP	0.98
PROTEIN_2368	AMP	0.61
PROTEIN_2369	AMP	0.83
PROTEIN_2370	AMP	0.69
PROTEIN_2371	AMP	0.64
PROTEIN_2372	AMP	0.96
PROTEIN_2373	AMP	0.98
PROTEIN_2374	AMP	0.95
PROTEIN_2375	AMP	0.59
PROTEIN_2376	NAMP	0.04
PROTEIN_2377	AMP	0.95
PROTEIN_2378	AMP	0.77
PROTEIN_2379	AMP	0.86
PROTEIN_2380	AMP	0.99
PROTEIN_2381	AMP	0.90
PROTEIN_2382	NAMP	0.42
PROTEIN_2383	AMP	0.78
PROTEIN_2384	AMP	0.92
PROTEIN_2385	AMP	0.78
PROTEIN_2386	NAMP	0.38
PROTEIN_2387	AMP	0.53
PROTEIN_2388	AMP	0.76
PROTEIN_2389	AMP	0.93
PROTEIN_2390	AMP	0.81
PROTEIN_2391	AMP	0.96
PROTEIN_2392	AMP	0.78
PROTEIN_2393	AMP	0.85
PROTEIN_2394	AMP	0.65
PROTEIN_2395	AMP	0.96
PROTEIN_2396	AMP	0.57
PROTEIN_2397	AMP	0.75
PROTEIN_2398	AMP	0.71
PROTEIN_2399	NAMP	0.50
PROTEIN_2400	NAMP	0.22
PROTEIN_2401	NAMP	0.32
PROTEIN_2402	AMP	0.80
PROTEIN_2403	AMP	0.83
PROTEIN_2404	NAMP	0.32
PROTEIN_2405	NAMP	0.00
PROTEIN_2406	NAMP	0.13
PROTEIN_2407	NAMP	0.32
PROTEIN_2408	AMP	0.86
PROTEIN_2409	AMP	0.94
PROTEIN_2410	NAMP	0.47
PROTEIN_2411	AMP	0.99
PROTEIN_2412	AMP	0.69
PROTEIN_2413	NAMP	0.15
PROTEIN_2414	AMP	0.54
PROTEIN_2415	AMP	0.85
PROTEIN_2416	NAMP	0.02
PROTEIN_2417	NAMP	0.37
PROTEIN_2418	AMP	0.94
PROTEIN_2419	AMP	0.72
PROTEIN_2420	NAMP	0.39
PROTEIN_2421	AMP	0.83
PROTEIN_2422	NAMP	0.22
PROTEIN_2423	NAMP	0.15
PROTEIN_2424	NAMP	0.38
PROTEIN_2425	NAMP	0.01
PROTEIN_2426	AMP	0.94
PROTEIN_2427	NAMP	0.43
PROTEIN_2428	NAMP	0.10
PROTEIN_2429	NAMP	0.31
PROTEIN_2430	AMP	0.68
PROTEIN_2431	NAMP	0.00
PROTEIN_2432	AMP	0.82
PROTEIN_2433	AMP	0.94
PROTEIN_2434	AMP	0.99
PROTEIN_2435	AMP	0.81
PROTEIN_2436	AMP	1.00
PROTEIN_2437	NAMP	0.32
PROTEIN_2438	AMP	0.56
PROTEIN_2439	AMP	0.88
PROTEIN_2440	NAMP	0.15
PROTEIN_2441	AMP	0.59
PROTEIN_2442	NAMP	0.22
PROTEIN_2443	NAMP	0.34
PROTEIN_2444	NAMP	0.22
PROTEIN_2445	AMP	1.00
PROTEIN_2446	NAMP	0.09
PROTEIN_2447	AMP	0.87
PROTEIN_2448	AMP	0.95
PROTEIN_2449	NAMP	0.04
PROTEIN_2450	AMP	0.83
PROTEIN_2451	AMP	0.65
PROTEIN_2452	AMP	0.97
PROTEIN_2453	AMP	0.92
PROTEIN_2454	AMP	0.58
PROTEIN_2455	AMP	0.83
PROTEIN_2456	NAMP	0.00
PROTEIN_2457	AMP	0.97
PROTEIN_2458	AMP	0.67
PROTEIN_2459	AMP	0.70
PROTEIN_2460	NAMP	0.50
PROTEIN_2461	AMP	0.78
PROTEIN_2462	AMP	0.96
PROTEIN_2463	NAMP	0.02
PROTEIN_2464	AMP	0.81
PROTEIN_2465	NAMP	0.03
PROTEIN_2466	AMP	0.99
PROTEIN_2467	AMP	0.99
PROTEIN_2468	AMP	0.82
PROTEIN_2469	AMP	0.52
PROTEIN_2470	NAMP	0.04
PROTEIN_2471	AMP	0.79
PROTEIN_2472	NAMP	0.41
PROTEIN_2473	AMP	0.97
PROTEIN_2474	AMP	0.73
PROTEIN_2475	NAMP	0.09
PROTEIN_2476	NAMP	0.09
PROTEIN_2477	AMP	0.64
PROTEIN_2478	AMP	0.94
PROTEIN_2479	AMP	0.99
PROTEIN_2480	AMP	0.66
PROTEIN_2481	NAMP	0.00
PROTEIN_2482	AMP	0.94
PROTEIN_2483	AMP	0.98
PROTEIN_2484	AMP	0.97
PROTEIN_2485	NAMP	0.49
PROTEIN_2486	AMP	0.52
PROTEIN_2487	AMP	0.92
PROTEIN_2488	AMP	0.94
PROTEIN_2489	AMP	0.80
PROTEIN_2490	NAMP	0.31
PROTEIN_2491	NAMP	0.31
PROTEIN_2492	AMP	0.98
PROTEIN_2493	AMP	0.77
PROTEIN_2494	NAMP	0.01
PROTEIN_2495	NAMP	0.11
PROTEIN_2496	AMP	0.98
PROTEIN_2497	NAMP	0.44
PROTEIN_2498	NAMP	0.18
PROTEIN_2499	NAMP	0.07
PROTEIN_2500	AMP	0.68
PROTEIN_2501	AMP	0.81
PROTEIN_2502	AMP	0.59
PROTEIN_2503	NAMP	0.17
PROTEIN_2504	NAMP	0.30
PROTEIN_2505	NAMP	0.08
PROTEIN_2506	AMP	0.62
PROTEIN_2507	AMP	1.00
PROTEIN_2508	AMP	0.56
PROTEIN_2509	AMP	0.99
PROTEIN_2510	AMP	0.96
PROTEIN_2511	AMP	0.77
PROTEIN_2512	AMP	0.91
PROTEIN_2513	AMP	0.60
PROTEIN_2514	NAMP	0.31
PROTEIN_2515	AMP	0.62
PROTEIN_2516	AMP	0.91
PROTEIN_2517	NAMP	0.08
PROTEIN_2518	AMP	0.90
PROTEIN_2519	NAMP	0.05
PROTEIN_2520	AMP	0.99
PROTEIN_2521	AMP	0.96
PROTEIN_2522	NAMP	0.31
PROTEIN_2523	AMP	0.95
PROTEIN_2524	AMP	0.93
PROTEIN_2525	AMP	0.86
PROTEIN_2526	AMP	0.88
PROTEIN_2527	AMP	0.63
PROTEIN_2528	AMP	0.63
PROTEIN_2529	NAMP	0.34
PROTEIN_2530	NAMP	0.01
PROTEIN_2531	AMP	0.50
PROTEIN_2532	AMP	1.00
PROTEIN_2533	NAMP	0.00
PROTEIN_2534	AMP	0.98
PROTEIN_2535	NAMP	0.03
PROTEIN_2536	AMP	0.85
PROTEIN_2537	NAMP	0.23
PROTEIN_2538	NAMP	0.04
PROTEIN_2539	AMP	0.95
PROTEIN_2540	AMP	0.79
PROTEIN_2541	AMP	0.68
PROTEIN_2542	AMP	0.85
PROTEIN_2543	AMP	0.91
PROTEIN_2544	AMP	0.53
PROTEIN_2545	AMP	0.96
PROTEIN_2546	AMP	0.71
PROTEIN_2547	AMP	0.94
PROTEIN_2548	NAMP	0.44
PROTEIN_2549	NAMP	0.06
PROTEIN_2550	NAMP	0.01
PROTEIN_2551	NAMP	0.48
PROTEIN_2552	NAMP	0.13
PROTEIN_2553	AMP	0.95
PROTEIN_2554	AMP	0.87
PROTEIN_2555	NAMP	0.02
PROTEIN_2556	NAMP	0.06
PROTEIN_2557	NAMP	0.27
PROTEIN_2558	AMP	0.88
PROTEIN_2559	AMP	0.73
PROTEIN_2560	NAMP	0.04
PROTEIN_2561	AMP	0.98
PROTEIN_2562	NAMP	0.30
PROTEIN_2563	AMP	0.52
PROTEIN_2564	NAMP	0.00
PROTEIN_2565	NAMP	0.28
PROTEIN_2566	NAMP	0.15
PROTEIN_2567	NAMP	0.00
PROTEIN_2568	AMP	0.96
PROTEIN_2569	AMP	0.91
PROTEIN_2570	AMP	0.58
PROTEIN_2571	NAMP	0.01
PROTEIN_2572	AMP	0.92
PROTEIN_2573	NAMP	0.00
PROTEIN_2574	AMP	0.54
PROTEIN_2575	AMP	0.97
PROTEIN_2576	NAMP	0.19
PROTEIN_2577	NAMP	0.00
PROTEIN_2578	NAMP	0.24
PROTEIN_2579	AMP	0.92
PROTEIN_2580	AMP	0.72
PROTEIN_2581	NAMP	0.07
PROTEIN_2582	AMP	0.85
PROTEIN_2583	NAMP	0.46
PROTEIN_2584	AMP	0.65
PROTEIN_2585	AMP	0.97
PROTEIN_2586	AMP	0.56
PROTEIN_2587	NAMP	0.35
PROTEIN_2588	AMP	0.96
PROTEIN_2589	NAMP	0.06
PROTEIN_2590	AMP	0.86
PROTEIN_2591	AMP	0.81
PROTEIN_2592	AMP	0.52
PROTEIN_2593	NAMP	0.50
PROTEIN_2594	AMP	0.78
PROTEIN_2595	NAMP	0.00
PROTEIN_2596	NAMP	0.30
PROTEIN_2597	NAMP	0.29
PROTEIN_2598	AMP	1.00
PROTEIN_2599	AMP	0.99
PROTEIN_2600	NAMP	0.08
PROTEIN_2601	AMP	0.76
PROTEIN_2602	AMP	0.85
PROTEIN_2603	NAMP	0.30
PROTEIN_2604	AMP	0.81
PROTEIN_2605	AMP	0.67
PROTEIN_2606	NAMP	0.03
PROTEIN_2607	AMP	0.99
PROTEIN_2608	AMP	0.81
PROTEIN_2609	AMP	0.99
PROTEIN_2610	AMP	0.93
PROTEIN_2611	NAMP	0.02
PROTEIN_2612	AMP	0.81
PROTEIN_2613	AMP	0.75
PROTEIN_2614	AMP	0.76
PROTEIN_2615	AMP	0.96
PROTEIN_2616	NAMP	0.17
PROTEIN_2617	AMP	0.53
PROTEIN_2618	NAMP	0.14
PROTEIN_2619	AMP	0.78
PROTEIN_2620	AMP	0.96
PROTEIN_2621	NAMP	0.04
PROTEIN_2622	AMP	0.53
PROTEIN_2623	AMP	0.92
PROTEIN_2624	AMP	0.73
PROTEIN_2625	AMP	1.00
PROTEIN_2626	NAMP	0.40
PROTEIN_2627	AMP	0.91
PROTEIN_2628	AMP	0.85
PROTEIN_2629	NAMP	0.29
PROTEIN_2630	NAMP	0.04
PROTEIN_2631	AMP	0.84
PROTEIN_2632	AMP	0.98
PROTEIN_2633	AMP	0.88
PROTEIN_2634	AMP	0.83
PROTEIN_2635	NAMP	0.13
PROTEIN_2636	AMP	0.91
PROTEIN_2637	AMP	0.97
PROTEIN_2638	AMP	0.94
PROTEIN_2639	AMP	0.99
PROTEIN_2640	NAMP	0.23
PROTEIN_2641	AMP	0.97
PROTEIN_2642	NAMP	0.28
PROTEIN_2643	AMP	0.80
PROTEIN_2644	NAMP	0.00
PROTEIN_2645	AMP	0.87
PROTEIN_2646	AMP	0.79
PROTEIN_2647	AMP	0.82
PROTEIN_2648	AMP	0.60
PROTEIN_2649	AMP	0.82
PROTEIN_2650	AMP	0.60
PROTEIN_2651	AMP	0.68
PROTEIN_2652	NAMP	0.46
PROTEIN_2653	AMP	0.95
PROTEIN_2654	AMP	0.77
PROTEIN_2655	NAMP	0.06
PROTEIN_2656	AMP	0.98
PROTEIN_2657	NAMP	0.20
PROTEIN_2658	AMP	0.60
PROTEIN_2659	AMP	0.59
PROTEIN_2660	AMP	0.96
PROTEIN_2661	NAMP	0.21
PROTEIN_2662	NAMP	0.14
PROTEIN_2663	AMP	0.50
PROTEIN_2664	AMP	0.59
PROTEIN_2665	NAMP	0.40
PROTEIN_2666	AMP	0.66
PROTEIN_2667	AMP	0.94
PROTEIN_2668	NAMP	0.46
PROTEIN_2669	AMP	0.85
PROTEIN_2670	AMP	0.74
PROTEIN_2671	AMP	0.80
PROTEIN_2672	NAMP	0.37
PROTEIN_2673	NAMP	0.01
PROTEIN_2674	NAMP	0.21
PROTEIN_2675	AMP	0.80
PROTEIN_2676	AMP	0.66
PROTEIN_2677	AMP	0.89
PROTEIN_2678	AMP	0.96
PROTEIN_2679	AMP	0.95
PROTEIN_2680	AMP	0.92
PROTEIN_2681	AMP	0.98
PROTEIN_2682	AMP	0.99
PROTEIN_2683	AMP	0.95
PROTEIN_2684	AMP	0.56
PROTEIN_2685	AMP	0.91
PROTEIN_2686	AMP	0.89
PROTEIN_2687	AMP	0.83
PROTEIN_2688	AMP	0.82
PROTEIN_2689	NAMP	0.02
PROTEIN_2690	AMP	0.95
PROTEIN_2691	AMP	0.95
PROTEIN_2692	AMP	0.89
PROTEIN_2693	NAMP	0.07
PROTEIN_2694	AMP	0.78
PROTEIN_2695	AMP	0.83
PROTEIN_2696	AMP	0.75
PROTEIN_2697	NAMP	0.14
PROTEIN_2698	NAMP	0.31
PROTEIN_2699	NAMP	0.45
PROTEIN_2700	AMP	0.80
PROTEIN_2701	AMP	0.93
PROTEIN_2702	AMP	0.80
PROTEIN_2703	AMP	0.80
PROTEIN_2704	AMP	0.83
PROTEIN_2705	AMP	0.95
PROTEIN_2706	AMP	0.76
PROTEIN_2707	NAMP	0.10
PROTEIN_2708	AMP	0.68
PROTEIN_2709	NAMP	0.00
PROTEIN_2710	AMP	0.87
PROTEIN_2711	AMP	0.94
PROTEIN_2712	AMP	0.92
PROTEIN_2713	AMP	0.57
PROTEIN_2714	AMP	0.66
PROTEIN_2715	AMP	0.95
PROTEIN_2716	NAMP	0.47
PROTEIN_2717	AMP	0.86
PROTEIN_2718	AMP	0.99
PROTEIN_2719	AMP	0.69
PROTEIN_2720	AMP	0.78
PROTEIN_2721	AMP	0.90
PROTEIN_2722	AMP	0.54
PROTEIN_2723	AMP	0.80
PROTEIN_2724	AMP	0.99
PROTEIN_2725	NAMP	0.00
PROTEIN_2726	NAMP	0.31
PROTEIN_2727	AMP	0.97
PROTEIN_2728	AMP	0.87
PROTEIN_2729	AMP	0.55
PROTEIN_2730	AMP	0.95
PROTEIN_2731	AMP	0.79
PROTEIN_2732	AMP	0.82
PROTEIN_2733	AMP	0.68
PROTEIN_2734	AMP	0.63
PROTEIN_2735	NAMP	0.44
PROTEIN_2736	AMP	0.71
PROTEIN_2737	AMP	0.81
PROTEIN_2738	AMP	0.98
PROTEIN_2739	NAMP	0.43
PROTEIN_2740	AMP	0.89
PROTEIN_2741	AMP	0.63
PROTEIN_2742	AMP	0.56
PROTEIN_2743	AMP	0.98
PROTEIN_2744	NAMP	0.01
PROTEIN_2745	AMP	0.79
PROTEIN_2746	NAMP	0.37
PROTEIN_2747	AMP	0.80
PROTEIN_2748	NAMP	0.00
PROTEIN_2749	NAMP	0.43
PROTEIN_2750	AMP	0.97
PROTEIN_2751	AMP	0.71
PROTEIN_2752	NAMP	0.15
PROTEIN_2753	NAMP	0.01
PROTEIN_2754	NAMP	0.32
PROTEIN_2755	AMP	0.90
PROTEIN_2756	NAMP	0.28
PROTEIN_2757	AMP	0.91
PROTEIN_2758	AMP	0.91
PROTEIN_2759	AMP	0.78
PROTEIN_2760	AMP	0.51
PROTEIN_2761	NAMP	0.48
PROTEIN_2762	NAMP	0.24
PROTEIN_2763	NAMP	0.46
PROTEIN_2764	NAMP	0.13
PROTEIN_2765	AMP	0.91
PROTEIN_2766	AMP	0.81
PROTEIN_2767	NAMP	0.46
PROTEIN_2768	AMP	0.97
PROTEIN_2769	AMP	0.88
PROTEIN_2770	AMP	0.78
PROTEIN_2771	AMP	0.59
PROTEIN_2772	NAMP	0.16
PROTEIN_2773	AMP	0.96
PROTEIN_2774	AMP	0.98
PROTEIN_2775	AMP	0.54
PROTEIN_2776	AMP	0.75
PROTEIN_2777	NAMP	0.38
PROTEIN_2778	AMP	0.61
PROTEIN_2779	NAMP	0.23
PROTEIN_2780	NAMP	0.47
PROTEIN_2781	AMP	0.67
PROTEIN_2782	NAMP	0.45
PROTEIN_2783	AMP	0.92
PROTEIN_2784	AMP	0.86
PROTEIN_2785	NAMP	0.46
PROTEIN_2786	NAMP	0.04
PROTEIN_2787	AMP	0.88
PROTEIN_2788	AMP	0.94
PROTEIN_2789	NAMP	0.20
PROTEIN_2790	AMP	0.58
PROTEIN_2791	AMP	0.98
PROTEIN_2792	AMP	0.87
PROTEIN_2793	NAMP	0.32
PROTEIN_2794	NAMP	0.47
PROTEIN_2795	AMP	0.68
PROTEIN_2796	AMP	0.97
PROTEIN_2797	NAMP	0.05
PROTEIN_2798	NAMP	0.05
PROTEIN_2799	AMP	0.91
PROTEIN_2800	AMP	0.94
PROTEIN_2801	AMP	0.98
PROTEIN_2802	AMP	0.85
PROTEIN_2803	AMP	0.93
PROTEIN_2804	AMP	0.98
PROTEIN_2805	AMP	0.57
PROTEIN_2806	AMP	0.86
PROTEIN_2807	AMP	0.97
PROTEIN_2808	AMP	0.96
PROTEIN_2809	AMP	0.86
PROTEIN_2810	AMP	0.76
PROTEIN_2811	AMP	0.81
PROTEIN_2812	NAMP	0.46
PROTEIN_2813	NAMP	0.35
PROTEIN_2814	AMP	0.91
PROTEIN_2815	AMP	0.55
PROTEIN_2816	AMP	0.90
PROTEIN_2817	AMP	0.96
PROTEIN_2818	AMP	0.86
PROTEIN_2819	AMP	0.97
PROTEIN_2820	AMP	0.95
PROTEIN_2821	AMP	0.96
PROTEIN_2822	AMP	0.83
PROTEIN_2823	NAMP	0.18
PROTEIN_2824	AMP	0.72
PROTEIN_2825	AMP	0.91
PROTEIN_2826	AMP	0.76
PROTEIN_2827	NAMP	0.01
PROTEIN_2828	NAMP	0.07
PROTEIN_2829	AMP	0.99
PROTEIN_2830	AMP	0.89
PROTEIN_2831	AMP	0.86
PROTEIN_2832	AMP	0.96
PROTEIN_2833	AMP	0.74
PROTEIN_2834	AMP	0.84
PROTEIN_2835	AMP	0.94
PROTEIN_2836	AMP	0.75
PROTEIN_2837	AMP	0.80
PROTEIN_2838	AMP	0.94
PROTEIN_2839	AMP	0.52
PROTEIN_2840	AMP	0.94
PROTEIN_2841	AMP	0.96
PROTEIN_2842	AMP	0.69
PROTEIN_2843	NAMP	0.21
PROTEIN_2844	AMP	0.85
PROTEIN_2845	AMP	0.88
PROTEIN_2846	NAMP	0.28
PROTEIN_2847	NAMP	0.43
PROTEIN_2848	NAMP	0.33
PROTEIN_2849	AMP	0.70
PROTEIN_2850	AMP	0.87
PROTEIN_2851	AMP	0.53
PROTEIN_2852	AMP	0.91
PROTEIN_2853	AMP	0.93
PROTEIN_2854	AMP	0.82
PROTEIN_2855	AMP	0.98
PROTEIN_2856	NAMP	0.01
PROTEIN_2857	AMP	0.94
PROTEIN_2858	AMP	0.96
PROTEIN_2859	AMP	0.70
PROTEIN_2860	NAMP	0.16
PROTEIN_2861	NAMP	0.01
PROTEIN_2862	AMP	0.97
PROTEIN_2863	AMP	0.94
PROTEIN_2864	AMP	0.62
PROTEIN_2865	NAMP	0.03
PROTEIN_2866	AMP	0.94
PROTEIN_2867	AMP	0.90
PROTEIN_2868	AMP	0.86
PROTEIN_2869	AMP	0.80
PROTEIN_2870	AMP	0.86
PROTEIN_2871	AMP	0.73
PROTEIN_2872	AMP	0.82
PROTEIN_2873	AMP	0.84
PROTEIN_2874	AMP	0.86
PROTEIN_2875	AMP	0.80
PROTEIN_2876	NAMP	0.05
PROTEIN_2877	AMP	0.81
PROTEIN_2878	NAMP	0.01
PROTEIN_2879	NAMP	0.09
PROTEIN_2880	AMP	0.98
PROTEIN_2881	AMP	1.00
PROTEIN_2882	AMP	0.87
PROTEIN_2883	AMP	0.66
PROTEIN_2884	AMP	0.87
PROTEIN_2885	AMP	0.92
PROTEIN_2886	AMP	0.90
PROTEIN_2887	AMP	0.82
PROTEIN_2888	AMP	0.61
PROTEIN_2889	AMP	0.95
PROTEIN_2890	AMP	0.79
PROTEIN_2891	NAMP	0.29
PROTEIN_2892	AMP	1.00
PROTEIN_2893	NAMP	0.23
PROTEIN_2894	NAMP	0.05
PROTEIN_2895	AMP	0.97
PROTEIN_2896	NAMP	0.44
PROTEIN_2897	NAMP	0.32
PROTEIN_2898	NAMP	0.41
PROTEIN_2899	AMP	0.58
PROTEIN_2900	AMP	0.90
PROTEIN_2901	AMP	0.84
PROTEIN_2902	NAMP	0.42
PROTEIN_2903	AMP	1.00
PROTEIN_2904	NAMP	0.46
PROTEIN_2905	NAMP	0.29
PROTEIN_2906	AMP	0.82
PROTEIN_2907	AMP	0.82
PROTEIN_2908	NAMP	0.12
PROTEIN_2909	NAMP	0.19
PROTEIN_2910	NAMP	0.19
PROTEIN_2911	NAMP	0.03
PROTEIN_2912	AMP	1.00
PROTEIN_2913	AMP	0.85
PROTEIN_2914	AMP	0.96
PROTEIN_2915	AMP	0.72
PROTEIN_2916	AMP	0.90
PROTEIN_2917	AMP	0.69
PROTEIN_2918	NAMP	0.41
PROTEIN_2919	AMP	0.69
PROTEIN_2920	AMP	0.63
PROTEIN_2921	AMP	0.94
PROTEIN_2922	AMP	0.94
PROTEIN_2923	AMP	0.67
PROTEIN_2924	NAMP	0.38
PROTEIN_2925	AMP	0.54
PROTEIN_2926	NAMP	0.03
PROTEIN_2927	AMP	0.80
PROTEIN_2928	NAMP	0.00
PROTEIN_2929	AMP	0.51
PROTEIN_2930	NAMP	0.22
PROTEIN_2931	NAMP	0.02
PROTEIN_2932	AMP	0.86
PROTEIN_2933	AMP	0.59
PROTEIN_2934	AMP	0.91
PROTEIN_2935	AMP	0.82
PROTEIN_2936	NAMP	0.00
PROTEIN_2937	AMP	0.71
PROTEIN_2938	AMP	0.95
PROTEIN_2939	AMP	0.85
PROTEIN_2940	AMP	0.92
PROTEIN_2941	AMP	0.86
PROTEIN_2942	AMP	0.62
PROTEIN_2943	AMP	0.72
PROTEIN_2944	AMP	0.95
PROTEIN_2945	NAMP	0.31
PROTEIN_2946	AMP	0.98
PROTEIN_2947	NAMP	0.39
PROTEIN_2948	AMP	0.75
PROTEIN_2949	NAMP	0.01
PROTEIN_2950	NAMP	0.42
PROTEIN_2951	AMP	0.78
PROTEIN_2952	NAMP	0.21
PROTEIN_2953	AMP	0.96
PROTEIN_2954	NAMP	0.46
PROTEIN_2955	AMP	0.91
PROTEIN_2956	AMP	0.93
PROTEIN_2957	AMP	0.64
PROTEIN_2958	AMP	0.92
PROTEIN_2959	AMP	0.58
PROTEIN_2960	AMP	0.96
PROTEIN_2961	AMP	0.95
PROTEIN_2962	NAMP	0.41
PROTEIN_2963	AMP	0.99
PROTEIN_2964	AMP	0.99
PROTEIN_2965	AMP	0.98
PROTEIN_2966	NAMP	0.02
PROTEIN_2967	NAMP	0.01
PROTEIN_2968	NAMP	0.36
PROTEIN_2969	AMP	0.54
PROTEIN_2970	NAMP	0.39
PROTEIN_2971	NAMP	0.03
PROTEIN_2972	NAMP	0.27
PROTEIN_2973	AMP	0.97
PROTEIN_2974	AMP	0.89
PROTEIN_2975	NAMP	0.02
PROTEIN_2976	AMP	0.94
PROTEIN_2977	AMP	0.54
PROTEIN_2978	NAMP	0.15
PROTEIN_2979	AMP	0.82
PROTEIN_2980	AMP	0.97
PROTEIN_2981	AMP	0.89
PROTEIN_2982	AMP	0.90
PROTEIN_2983	AMP	0.67
PROTEIN_2984	AMP	0.87
PROTEIN_2985	AMP	0.96
PROTEIN_2986	AMP	0.73
PROTEIN_2987	AMP	0.96
PROTEIN_2988	NAMP	0.03
PROTEIN_2989	AMP	1.00
PROTEIN_2990	NAMP	0.02
PROTEIN_2991	AMP	0.87
PROTEIN_2992	AMP	0.56
PROTEIN_2993	AMP	0.72
PROTEIN_2994	AMP	0.80
PROTEIN_2995	NAMP	0.14
PROTEIN_2996	AMP	0.69
PROTEIN_2997	NAMP	0.22
PROTEIN_2998	AMP	0.77
PROTEIN_2999	NAMP	0.36
PROTEIN_3000	NAMP	0.07
PROTEIN_3001	AMP	0.67
PROTEIN_3002	AMP	0.98
PROTEIN_3003	NAMP	0.08
PROTEIN_3004	AMP	0.52
PROTEIN_3005	NAMP	0.45
PROTEIN_3006	AMP	0.93
PROTEIN_3007	AMP	0.60
PROTEIN_3008	AMP	0.93
PROTEIN_3009	AMP	0.89
PROTEIN_3010	NAMP	0.07
PROTEIN_3011	AMP	0.57
PROTEIN_3012	NAMP	0.21
PROTEIN_3013	NAMP	0.15
PROTEIN_3014	NAMP	0.44
PROTEIN_3015	NAMP	0.02
PROTEIN_3016	AMP	0.85
PROTEIN_3017	AMP	0.98
PROTEIN_3018	AMP	0.69
PROTEIN_3019	NAMP	0.02
PROTEIN_3020	NAMP	0.34
PROTEIN_3021	NAMP	0.00
PROTEIN_3022	AMP	0.93
PROTEIN_3023	NAMP	0.03
PROTEIN_3024	AMP	0.77
PROTEIN_3025	AMP	0.92
PROTEIN_3026	AMP	0.98
PROTEIN_3027	NAMP	0.00
PROTEIN_3028	AMP	0.71
PROTEIN_3029	NAMP	0.47
PROTEIN_3030	AMP	0.78
PROTEIN_3031	AMP	0.89
PROTEIN_3032	AMP	0.93
PROTEIN_3033	AMP	0.87
PROTEIN_3034	AMP	0.88
PROTEIN_3035	AMP	0.64
PROTEIN_3036	NAMP	0.12
PROTEIN_3037	AMP	0.99
PROTEIN_3038	AMP	0.97
PROTEIN_3039	NAMP	0.07
PROTEIN_3040	AMP	0.69
PROTEIN_3041	NAMP	0.32
PROTEIN_3042	AMP	0.71
PROTEIN_3043	AMP	0.80
PROTEIN_3044	AMP	0.80
PROTEIN_3045	NAMP	0.07
PROTEIN_3046	NAMP	0.35
PROTEIN_3047	NAMP	0.27
PROTEIN_3048	AMP	0.80
PROTEIN_3049	AMP	0.84
PROTEIN_3050	AMP	0.77
PROTEIN_3051	NAMP	0.06
PROTEIN_3052	NAMP	0.14
PROTEIN_3053	AMP	0.99
PROTEIN_3054	AMP	0.86
PROTEIN_3055	NAMP	0.11
PROTEIN_3056	NAMP	0.22
PROTEIN_3057	NAMP	0.42
PROTEIN_3058	NAMP	0.01
PROTEIN_3059	NAMP	0.25
PROTEIN_3060	AMP	0.81
PROTEIN_3061	NAMP	0.04
PROTEIN_3062	AMP	0.82
PROTEIN_3063	AMP	0.90
PROTEIN_3064	AMP	0.77
PROTEIN_3065	AMP	0.89
PROTEIN_3066	AMP	0.90
PROTEIN_3067	NAMP	0.39
PROTEIN_3068	NAMP	0.15
PROTEIN_3069	AMP	0.94
PROTEIN_3070	AMP	0.98
PROTEIN_3071	AMP	0.75
PROTEIN_3072	AMP	1.00
PROTEIN_3073	AMP	0.94
PROTEIN_3074	AMP	0.92
PROTEIN_3075	AMP	0.80
PROTEIN_3076	AMP	0.74
PROTEIN_3077	AMP	0.97
PROTEIN_3078	AMP	0.91
PROTEIN_3079	NAMP	0.44
PROTEIN_3080	AMP	0.88
PROTEIN_3081	AMP	0.95
PROTEIN_3082	AMP	0.85
PROTEIN_3083	NAMP	0.00
PROTEIN_3084	AMP	0.97
PROTEIN_3085	AMP	0.99
PROTEIN_3086	NAMP	0.20
PROTEIN_3087	NAMP	0.04
PROTEIN_3088	AMP	0.84
PROTEIN_3089	AMP	0.62
PROTEIN_3090	NAMP	0.42
PROTEIN_3091	AMP	0.90
PROTEIN_3092	NAMP	0.04
PROTEIN_3093	AMP	0.98
PROTEIN_3094	NAMP	0.24
PROTEIN_3095	AMP	0.92
PROTEIN_3096	AMP	0.52
PROTEIN_3097	AMP	0.97
PROTEIN_3098	AMP	0.65
PROTEIN_3099	NAMP	0.08
PROTEIN_3100	AMP	0.89
PROTEIN_3101	AMP	0.53
PROTEIN_3102	AMP	0.92
PROTEIN_3103	AMP	0.93
PROTEIN_3104	AMP	0.95
PROTEIN_3105	AMP	0.97
